Date,Consumer Price Index_cleaned,Effective Funds Rate DFF_cleaned,GDP growth_cleaned,Historical Gold Prices_cleaned,M2SL_cleaned,T10Y2Y_cleaned,UMCSENT_cleaned,Unemployment Rate_cleaned,United States uncertainty index_cleaned,US Dollar Index (DXY)_cleaned
1985-06-21,0.0092910898448428,7.41,8.56923076923077,-1.4460861364350874,0.0348657051433942,1.54,94.75,7.302325581395349,113.83,147.589996
1985-06-24,0.0092902266815464,7.59,8.607692307692309,0.382775119617218,0.0348535532063376,1.58,94.625,7.2953488372093025,209.79,147.75
1985-06-25,0.0092893636785884,7.6,8.646153846153847,0.2542103590721378,0.0348414097370408,1.54,94.5,7.288372093023256,90.91,147.800003
1985-06-26,0.0092885008359688,7.46,8.684615384615386,0.4120443740095014,0.0348292747267331,1.6,94.375,7.28139534883721,148.43,146.740005
1985-06-27,0.0092876381536211,7.74,8.723076923076924,-0.5681818181818232,0.0348171481665326,1.58,94.25,7.274418604651163,141.81,147.330002
1985-06-28,0.0092867756315007,7.95,8.761538461538462,0.8888888888888946,0.0348050300476687,1.58,94.125,7.267441860465116,267.29,146.119995
1985-07-01,0.0092859132695855,8.12,8.8,-1.227186910006306,0.0347929203612595,1.53,94.0,7.26046511627907,149.84,146.440002
1985-07-02,0.0080739574502386,8.13,8.746969696969698,-1.7840076457470433,0.025949157547167,1.54,93.9304347826087,7.253488372093023,42.94,146.610001
1985-07-03,0.0080733056149862,8.58,8.693939393939395,0.6811547194291112,0.0259424257062823,1.57,93.8608695652174,7.246511627906977,72.43,146.089996
1985-07-04,0.0080726538849607,8.58,8.640909090909092,0.0644329896907436,0.0259356973572266,1.57,93.79130434782608,7.23953488372093,153.57,146.089996
1985-07-05,0.0080720022601621,8.05,8.587878787878788,0.3219575016097931,0.0259289724974243,1.57,93.72173913043478,7.232558139534884,97.47,145.0
1985-07-08,0.0080713507405461,8.13,8.534848484848485,-0.7381258023106629,0.0259222511240331,1.53,93.65217391304348,7.225581395348837,54.39,143.960007
1985-07-09,0.0080706993260903,7.96,8.481818181818182,1.810539928871635,0.0259155332344329,1.53,93.58260869565216,7.21860465116279,131.14,142.820007
1985-07-10,0.008070048016795,7.7,8.42878787878788,0.0,0.0259088188258926,1.52,93.51304347826088,7.211627906976744,112.38,141.809998
1985-07-11,0.0080693968125933,7.8,8.375757575757577,-0.4128294696728929,0.0259021078956589,1.49,93.44347826086955,7.2046511627906975,172.97,141.339996
1985-07-12,0.0080687457134853,7.67,8.322727272727274,0.6696428571428381,0.0258954004411338,1.45,93.37391304347828,7.197674418604651,37.07,140.25
1985-07-15,0.0080680947194267,7.71,8.26969696969697,0.0633512828634774,0.0258886964594973,1.46,93.30434782608695,7.190697674418605,52.07,139.559998
1985-07-16,0.0080674438304173,7.58,8.216666666666667,1.867679645457443,0.0258819959481293,1.48,93.23478260869564,7.183720930232558,247.62,139.770004
1985-07-17,0.008066793046435,8.26,8.163636363636364,1.1808576755748978,0.0258752989043209,1.49,93.16521739130437,7.176744186046512,107.85,137.830002
1985-07-18,0.0080661423674133,8.01,8.110606060606061,-1.7199017199017286,0.0258686053253631,1.54,93.09565217391304,7.169767441860465,68.45,139.179993
1985-07-19,0.008065491793352,7.91,8.057575757575759,-0.3437500000000093,0.0258619152085914,1.52,93.02608695652174,7.162790697674418,144.36,140.559998
1985-07-22,0.0080648413242512,8.07,8.004545454545456,-0.5017246785826157,0.0258552285513191,1.51,92.95652173913044,7.155813953488372,101.52,140.759995
1985-07-23,0.0080641909600442,7.83,7.951515151515152,1.638827607942006,0.025848545350815,1.5,92.88695652173914,7.148837209302325,41.02,138.820007
1985-07-24,0.0080635407007312,7.55,7.898484848484848,-1.4573643410852657,0.0258418656044812,1.52,92.81739130434784,7.141860465116279,106.43,140.259995
1985-07-25,0.0080628905462676,7.49,7.845454545454546,-0.1258653241032248,0.0258351893095643,1.56,92.74782608695652,7.134883720930232,32.9,139.279999
1985-07-26,0.0080622404966312,7.41,7.792424242424243,-0.1260239445494582,0.0258285164634441,1.61,92.67826086956522,7.127906976744185,73.58,139.289993
1985-07-29,0.0080615905518222,7.6,7.73939393939394,2.9968454258675115,0.0258218470634341,1.64,92.60869565217392,7.120930232558139,146.49,137.669998
1985-07-30,0.0080609407117737,7.57,7.686363636363636,-0.3675344563552785,0.0258151811068474,1.62,92.53913043478262,7.1139534883720925,125.88,137.580002
1985-07-31,0.0080602909765081,8.61,7.633333333333334,0.6762988011066673,0.0258085185910417,1.56,92.4695652173913,7.106976744186047,35.29,137.259995
1985-08-01,0.0080596413459588,8.26,7.580303030303031,-1.648854961832058,0.025801859513308,1.47,92.4,7.1,237.67,138.419998
1985-08-02,0.0084253096301445,7.94,7.527272727272727,-0.4967401428128015,0.0230620443386397,1.51,92.38636363636364,7.098484848484848,114.47,138.570007
1985-08-05,0.0084245998315024,7.85,7.474242424242425,1.029641185647434,0.0230567269860371,1.51,92.37272727272727,7.096969696969697,250.21,138.639999
1985-08-06,0.0084238901524758,7.76,7.421212121212122,-1.2353304508956109,0.0230514120848956,1.52,92.35909090909092,7.095454545454545,164.81,139.770004
1985-08-07,0.0084231805929757,7.73,7.368181818181818,0.4377736085052985,0.0230460996335057,1.47,92.34545454545454,7.093939393939394,35.4,139.850006
1985-08-08,0.0084224711530467,7.68,7.315151515151515,0.4047322540473352,0.0230407896301576,1.44,92.33181818181818,7.092424242424242,63.89,139.110001
1985-08-09,0.0084217618325777,7.61,7.262121212121213,-0.2480620155038804,0.0230354820731859,1.42,92.31818181818184,7.090909090909091,146.73,139.199997
1985-08-12,0.0084210526315908,7.85,7.209090909090909,1.5542430836182677,0.0230301769609031,1.43,92.30454545454546,7.089393939393939,198.62,137.740005
1985-08-13,0.0084203435500196,8.02,7.156060606060606,-0.0612182430364205,0.0230248742916217,1.5,92.2909090909091,7.087878787878788,160.18,137.330002
1985-08-14,0.0084196345878639,8.75,7.103030303030304,-0.1531393568147021,0.0230195740636318,1.42,92.27727272727272,7.086363636363636,245.63,137.580002
